CS,ELE,SL,AMP,AMT,AME,NDVI,NL,POP,GDP,DTW,DTG,DTH,DTC
264.75 ,1726.25 ,24.63 ,914.26 ,16.31 ,1114.43 ,0.67 ,0.00 ,0.27 ,8.00 ,3412.84 ,40706.85 ,9086.67 ,1956.40 
175.54 ,2622.75 ,1.29 ,881.37 ,10.71 ,1075.74 ,0.33 ,0.00 ,0.73 ,5.96 ,16298.70 ,26760.56 ,18950.66 ,25817.97 
264.75 ,3731.00 ,31.59 ,887.79 ,4.95 ,846.50 ,0.53 ,0.00 ,0.03 ,1.87 ,5131.03 ,15119.77 ,2372.24 ,4879.29 
264.75 ,3088.50 ,29.07 ,806.92 ,8.75 ,905.96 ,0.00 ,0.00 ,0.02 ,0.00 ,5503.99 ,71374.77 ,50306.16 ,9753.92 
0.19 ,2690.00 ,0.00 ,831.98 ,10.90 ,958.82 ,0.51 ,0.00 ,0.00 ,4.29 ,0.00 ,48129.39 ,40296.42 ,3454.80 
264.75 ,1651.00 ,17.42 ,823.12 ,17.95 ,1207.62 ,0.53 ,0.00 ,0.27 ,361.70 ,1768.47 ,16589.98 ,5150.49 ,6797.61 
164.78 ,2445.25 ,10.25 ,875.33 ,12.20 ,1134.75 ,0.45 ,0.00 ,2.23 ,7.91 ,4412.20 ,4257.64 ,1329.47 ,1835.08 
189.77 ,1189.25 ,2.60 ,879.26 ,18.52 ,1177.21 ,0.52 ,0.00 ,0.11 ,46.82 ,2885.74 ,18661.93 ,15922.55 ,135.36 
264.75 ,2080.11 ,25.64 ,873.63 ,15.38 ,1071.15 ,0.00 ,0.00 ,0.36 ,33.79 ,9378.88 ,18773.71 ,17878.18 ,3234.05 
164.78 ,2697.76 ,3.24 ,841.67 ,10.61 ,972.60 ,0.38 ,0.00 ,0.70 ,6.23 ,489.52 ,51773.49 ,39280.24 ,10.48 
264.75 ,3771.75 ,27.30 ,815.59 ,4.72 ,755.76 ,0.63 ,0.00 ,0.01 ,1.36 ,4790.35 ,69631.95 ,48104.34 ,7907.43 
239.76 ,1884.50 ,39.04 ,944.35 ,14.09 ,1086.68 ,0.56 ,0.00 ,0.33 ,33.69 ,4288.06 ,20236.79 ,16264.92 ,15428.14 
170.16 ,2988.00 ,2.29 ,880.72 ,9.51 ,1009.13 ,0.44 ,0.00 ,0.26 ,7.16 ,14513.01 ,21820.35 ,8199.24 ,11541.56 
164.78 ,2017.25 ,26.20 ,908.89 ,14.49 ,1130.01 ,0.56 ,0.00 ,0.56 ,34.79 ,20474.07 ,40842.72 ,30729.59 ,1275.74 
220.15 ,1785.00 ,31.85 ,936.76 ,15.63 ,1062.76 ,0.58 ,0.00 ,0.30 ,41.98 ,3386.37 ,32184.59 ,2950.00 ,2438.75 
264.75 ,3038.75 ,32.77 ,850.67 ,9.59 ,955.49 ,0.62 ,0.00 ,0.62 ,6.40 ,1835.08 ,48127.00 ,36020.10 ,1458.60 
175.54 ,1147.00 ,10.55 ,787.50 ,20.96 ,1348.21 ,0.37 ,0.00 ,0.78 ,459.06 ,864.59 ,13756.00 ,6022.25 ,4563.72 
264.75 ,2385.50 ,29.59 ,933.17 ,12.50 ,1001.78 ,0.63 ,0.00 ,0.31 ,125.47 ,4165.03 ,32544.24 ,14850.84 ,5703.29 
170.16 ,2513.00 ,5.98 ,868.31 ,11.69 ,1075.06 ,0.37 ,0.00 ,0.26 ,7.85 ,18772.52 ,24619.66 ,8393.30 ,887.41 
264.75 ,2809.25 ,18.41 ,970.55 ,10.01 ,897.26 ,0.66 ,0.00 ,0.06 ,6.87 ,16130.33 ,28672.77 ,8816.32 ,15997.73 
264.75 ,1993.75 ,23.44 ,934.53 ,14.76 ,1058.59 ,0.58 ,0.00 ,0.38 ,7.97 ,2875.47 ,35965.64 ,3459.41 ,5771.27 
